Title: VLAN Virtual Bridge Port
Created: 07/15/2014 11:41:18
Number of Records: 436

ID,VLAN,ARP,DHCPDir,IGMP,PPPoEAC,PPPoESub,LSVID,Opt82Act
N101-1-VB7-1 (UTICA_258_2),N101-1-VB7-VLAN701 (UTICA_258_2),N,Client,None,N,Y,701,NONE
N101-1-VB7-2 (UTICA_258_2),N101-1-VB7-VLAN702 (UTICA_258_2),N,Client,None,N,Y,702,NONE
N101-1-VB7-3 (UTICA_258_2),N101-1-VB7-VLAN703 (UTICA_258_2),N,Client,None,N,Y,703,NONE
N101-1-VB7-4 (UTICA_258_2),N101-1-VB7-VLAN704 (UTICA_258_2),N,Client,None,N,Y,704,NONE
N101-1-VB7-5 (UTICA_258_2),N101-1-VB7-VLAN705 (UTICA_258_2),N,Client,None,N,Y,705,NONE
N101-1-VB7-6 (UTICA_258_2),N101-1-VB7-VLAN706 (UTICA_258_2),N,Client,None,N,Y,706,NONE
N101-1-VB7-7 (UTICA_258_2),N101-1-VB7-VLAN707 (UTICA_258_2),N,Client,None,N,Y,707,NONE
N101-1-VB7-8 (UTICA_258_2),N101-1-VB7-VLAN708 (UTICA_258_2),N,Client,None,N,Y,708,NONE
N101-1-VB7-9 (UTICA_258_2),N101-1-VB7-VLAN709 (UTICA_258_2),N,Client,None,N,Y,709,NONE
N101-1-VB7-10 (UTICA_258_2),N101-1-VB7-VLAN710 (UTICA_258_2),N,Client,None,N,Y,710,NONE
N101-1-VB7-11 (UTICA_258_2),N101-1-VB7-VLAN711 (UTICA_258_2),N,Client,None,N,Y,711,NONE
N101-1-VB7-12 (UTICA_258_2),N101-1-VB7-VLAN712 (UTICA_258_2),N,Client,None,N,Y,712,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN739 (UTICA_258_2),Y,Server,None,Y,N,739,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN737 (UTICA_258_2),Y,Server,None,Y,N,737,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN738 (UTICA_258_2),Y,Server,None,Y,N,738,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN736 (UTICA_258_2),Y,Server,None,Y,N,736,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN735 (UTICA_258_2),Y,Server,None,Y,N,735,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN733 (UTICA_258_2),Y,Server,None,Y,N,733,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN740 (UTICA_258_2),Y,Server,None,Y,N,740,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN734 (UTICA_258_2),Y,Server,None,Y,N,734,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN741 (UTICA_258_2),Y,Server,None,Y,N,741,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN742 (UTICA_258_2),Y,Server,None,Y,N,742,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN747 (UTICA_258_2),Y,Server,None,Y,N,747,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN744 (UTICA_258_2),Y,Server,None,Y,N,744,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN751 (UTICA_258_2),Y,Server,None,Y,N,751,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN750 (UTICA_258_2),Y,Server,None,Y,N,750,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN749 (UTICA_258_2),Y,Server,None,Y,N,749,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN743 (UTICA_258_2),Y,Server,None,Y,N,743,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN748 (UTICA_258_2),Y,Server,None,Y,N,748,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN746 (UTICA_258_2),Y,Server,None,Y,N,746,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN745 (UTICA_258_2),Y,Server,None,Y,N,745,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN732 (UTICA_258_2),Y,Server,None,Y,N,732,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN731 (UTICA_258_2),Y,Server,None,Y,N,731,NONE
N101-1-VB7-12-1 (UTICA_258_2),N101-1-VB7-VLAN730 (UTICA_258_2),Y,Server,None,Y,N,730,NONE
